Start,End,Speaker,Start in s,End in s
6.544991511035654,8.259762308998303,Holly,0:00:06.544992,0:00:08.259762
9.991511035653652,10.483870967741936,Holly,0:00:09.991511,0:00:10.483871
14.405772495755519,14.422750424448218,SPEAKER_11,0:00:14.405772,0:00:14.422750
14.439728353140918,15.916808149405773,SPEAKER_11,0:00:14.439728,0:00:15.916808
15.509337860780986,20.297113752122243,SPEAKER_03,0:00:15.509338,0:00:20.297114
20.297113752122243,24.43972835314092,Frank,0:00:20.297114,0:00:24.439728
24.541595925297116,25.35653650254669,Ashley,0:00:24.541596,0:00:25.356537
25.560271646859086,26.83361629881155,Frank,0:00:25.560272,0:00:26.833616
26.83361629881155,33.23429541595925,SPEAKER_06,0:00:26.833616,0:00:33.234295
33.52292020373515,36.00169779286927,Ophelie,0:00:33.522920,0:00:36.001698
36.00169779286927,44.507640067911716,Ashley,0:00:36.001698,0:00:44.507640
45.0339558573854,45.0509337860781,Ashley,0:00:45.033956,0:00:45.050934
45.0509337860781,45.0848896434635,Ophelie,0:00:45.050934,0:00:45.084890
45.0848896434635,45.169779286926996,Ashley,0:00:45.084890,0:00:45.169779
45.169779286926996,45.93378607809847,Ophelie,0:00:45.169779,0:00:45.933786
45.93378607809847,47.00339558573854,Ashley,0:00:45.933786,0:00:47.003396
47.00339558573854,47.68251273344652,Ophelie,0:00:47.003396,0:00:47.682513
48.20882852292021,50.82342954159593,SPEAKER_06,0:00:48.208829,0:00:50.823430
50.95925297113752,51.41765704584041,SPEAKER_06,0:00:50.959253,0:00:51.417657
51.41765704584041,54.507640067911716,Frederic,0:00:51.417657,0:00:54.507640
54.69439728353141,62.69100169779287,Helen,0:00:54.694397,0:01:02.691002
63.064516129032256,70.16129032258064,Frederic,0:01:03.064516,0:01:10.161290
70.16129032258064,71.28183361629883,Helen,0:01:10.161290,0:01:11.281834
71.4516129032258,72.33446519524617,Frederic,0:01:11.451613,0:01:12.334465
72.70797962648558,74.93208828522921,Helen,0:01:12.707980,0:01:14.932088
75.169779286927,76.93548387096774,Helen,0:01:15.169779,0:01:16.935484
77.52971137521223,86.37521222410865,Helen,0:01:17.529711,0:01:26.375212
87.12224108658745,99.00679117147709,Frederic,0:01:27.122241,0:01:39.006791
99.15959252971138,111.06112054329373,Frederic,0:01:39.159593,0:01:51.061121
111.553480475382,114.21901528013584,Frederic,0:01:51.553480,0:01:54.219015
115.32258064516128,129.43123938879458,Frederic,0:01:55.322581,0:02:09.431239
125.1358234295416,125.50933786078099,Helen,0:02:05.135823,0:02:05.509338
130.26315789473685,134.20203735144312,Helen,0:02:10.263158,0:02:14.202037
134.45670628183362,143.69269949066216,Helen,0:02:14.456706,0:02:23.692699
144.660441426146,153.04753820033957,Frederic,0:02:24.660441,0:02:33.047538
153.62478777589135,155.1528013582343,Frederic,0:02:33.624788,0:02:35.152801
155.4074702886248,155.9168081494058,Frederic,0:02:35.407470,0:02:35.916808
156.47707979626486,158.8709677419355,Frederic,0:02:36.477080,0:02:38.870968
159.15959252971138,168.5993208828523,Helen,0:02:39.159593,0:02:48.599321
169.5331069609508,177.71646859083194,Frederic,0:02:49.533107,0:02:57.716469
172.6740237691002,172.91171477079797,Helen,0:02:52.674024,0:02:52.911715
178.14091680814943,179.12563667232598,Helen,0:02:58.140917,0:02:59.125637
179.12563667232598,180.02546689303907,Frederic,0:02:59.125637,0:03:00.025467
180.39898132427845,185.3565365025467,Frederic,0:03:00.398981,0:03:05.356537
184.49066213921904,184.7113752122241,SPEAKER_11,0:03:04.490662,0:03:04.711375
185.76400679117148,192.40237691001698,Frederic,0:03:05.764007,0:03:12.402377
190.02546689303907,190.11035653650256,SPEAKER_11,0:03:10.025467,0:03:10.110357
194.16808149405773,196.95246179966045,Frederic,0:03:14.168081,0:03:16.952462
198.5823429541596,200.80645161290323,Frederic,0:03:18.582343,0:03:20.806452
201.46859083191853,206.30730050933786,Frederic,0:03:21.468591,0:03:26.307301
207.08828522920206,208.42954159592531,Helen,0:03:27.088285,0:03:28.429542
209.3972835314092,209.55008488964347,SPEAKER_11,0:03:29.397284,0:03:29.550085
209.70288624787779,209.80475382003397,SPEAKER_11,0:03:29.702886,0:03:29.804754
209.80475382003397,212.43633276740238,Helen,0:03:29.804754,0:03:32.436333
212.99660441426147,215.89983022071308,Helen,0:03:32.996604,0:03:35.899830
216.59592529711375,218.9049235993209,Helen,0:03:36.595925,0:03:38.904924
218.9049235993209,223.01358234295418,SPEAKER_09,0:03:38.904924,0:03:43.013582
220.33106960950767,220.80645161290323,SPEAKER_11,0:03:40.331070,0:03:40.806452
220.82342954159594,220.85738539898134,SPEAKER_11,0:03:40.823430,0:03:40.857385
220.87436332767405,220.99320882852294,SPEAKER_11,0:03:40.874363,0:03:40.993209
